hyper	hypo	sim
heterogeneous_wireless_network	frequent_item_sets	0.0
question_answering	approximation_theory	0.0
bm25	software_design	0.0
computer_networks	network_protocols	-0.008113530792769328
bilingual_dictionary	automated_theorem_proving	-0.0
higher-order_logic	formal_logic	-0.0
collaborative_filtering	test_case_generation	0.0
uml_class_diagrams	unified_modeling_language	0.01148442376647686
web_personalization	requirements_elicitation	0.0
hierarchical_clustering	video_processing	0.0
clustering	spectral_clustering	-0.07359998412381129
variational_approximation	computer_networks	0.0
content-based_image_retrieval	image_retrieval	-0.0
automata_theory	web_search	0.0
data_mining	link_analysis	0.004841831169584631
statistical_machine_translation	unified_modeling_language	0.0
variational_approximation	computer_science	0.0
query_expansion	relation_extraction	0.0
parallel_corpora	image_segmentation	0.0
collaborative_filtering	recommender_systems	1.2095499302766338e-13
multi-hop_wireless_networks	wireless_networks	0.06777048701443016
object_detection	question_answering	-0.00034437698877435013
hierarchical_clustering	data_mining	-9.312508011316559e-05
decision_rules	personalized_recommendation	-0.0
relation_extraction	information_extraction	1.3292825916494967e-14
spectral_clustering	textual_entailment	0.0
question_answering	hierarchical_clustering	-0.0
ad_hoc_wireless_networks	patent_retrieval	0.0
cellular_automata	k-means_clustering	-0.0
data_mining	text_mining	0.004566674727096607
link_analysis	image_enhancement	0.0
explicit_feedback	relevance_feedback	0.0
machine_translation	natural_language_processing	-0.00798524676444362
relation_extraction	query_processing	-0.0
collaborative_filtering	requirements_management	0.0
approximation_theory	theoretical_computer_science	-0.0
finite_automata	automata_theory	3.112053169804467e-14
requirements_management	requirements_engineering	0.0
requirements_engineering	gesture_recognition	0.0
requirements_engineering	requirements_elicitation	0.0
stochastic_approximation	natural_language_processing	-0.0
theoretical_computer_science	computer_science	0.11769517369793904
fuzzy_clustering	clustering	0.017909988737216723
pseudo_relevance_feedback	web_usage_mining	0.0
software_engineering	software_design	0.005888429521101
text_classification	image_enhancement	0.0
data_mining	requirements_elicitation	0.0
unified_modeling_language	software_design	0.001272661613686364
retrieval_effectiveness	mean_average_precision	5.906623776091289e-15
computational_learning_theory	first-order_logic	0.0
finite_automata	requirements_specification	0.0
decision_trees	rule_induction	0.001167386582479505
formal_logic	decision_tables	0.0
approximation_theory	medical_image_segmentation	-0.0
machine_translation	statistical_machine_translation	-0.1579591540171274
wordnet	turing_machines	0.0
tag_recommendation	information_extraction	0.0
information_retrieval	language_model	0.0024615271107507773
vector_space_model	opinion_mining	0.0
data_mining	spatial_data_mining	0.0008004491854452285
automatic_programming	text_mining	-0.0
web_usage_mining	web_mining	1.7202521153129336e-14
information_extraction	explicit_feedback	0.0
software_architecture_design	text_classification	0.0
object_detection	gesture_recognition	0.0
wordnet	coreference_resolution	6.336690386438282e-15
face_recognition	mean_average_precision	-0.0
requirements_engineering	requirements_specification	3.719263912214442e-14
pseudo_relevance_feedback	linear_programming_relaxation	-0.0
bm25	retrieval_models	-0.01939427835740831
information_retrieval	query_processing	0.0005000960668871346
