hyper	hypo	sim
heterogeneous_wireless_network	frequent_item_sets	0.0
question_answering	approximation_theory	0.0
bm25	software_design	0.0
computer_networks	network_protocols	0.01801801801801786
bilingual_dictionary	automated_theorem_proving	0.0
higher-order_logic	formal_logic	0.0
collaborative_filtering	test_case_generation	0.0
uml_class_diagrams	unified_modeling_language	0.03836930455635482
web_personalization	requirements_elicitation	0.0
hierarchical_clustering	video_processing	0.0
clustering	spectral_clustering	0.9999999999999973
variational_approximation	computer_networks	0.0
content-based_image_retrieval	image_retrieval	0.0
automata_theory	web_search	0.0
data_mining	link_analysis	0.007246376811594151
statistical_machine_translation	unified_modeling_language	0.0
variational_approximation	computer_science	0.0
query_expansion	relation_extraction	0.0
parallel_corpora	image_segmentation	0.0
collaborative_filtering	recommender_systems	0.08068459657701701
multi-hop_wireless_networks	wireless_networks	0.05338716913414085
object_detection	question_answering	0.0014347202295552346
hierarchical_clustering	data_mining	0.00032216494845360813
decision_rules	personalized_recommendation	0.0
relation_extraction	information_extraction	0.004360465116279064
spectral_clustering	textual_entailment	0.0
question_answering	hierarchical_clustering	0.0
ad_hoc_wireless_networks	patent_retrieval	0.0
cellular_automata	k-means_clustering	0.0
data_mining	text_mining	0.06366047745358074
link_analysis	image_enhancement	0.0
explicit_feedback	relevance_feedback	0.0
machine_translation	natural_language_processing	0.019047619047619018
relation_extraction	query_processing	0.0
collaborative_filtering	requirements_management	0.0
approximation_theory	theoretical_computer_science	0.0
finite_automata	automata_theory	0.05660377358490459
requirements_management	requirements_engineering	0.0
requirements_engineering	gesture_recognition	0.0
requirements_engineering	requirements_elicitation	0.0
stochastic_approximation	natural_language_processing	0.0
theoretical_computer_science	computer_science	0.1017543859649121
fuzzy_clustering	clustering	0.0024128098267163847
pseudo_relevance_feedback	web_usage_mining	0.0
software_engineering	software_design	0.044585987261146216
text_classification	image_enhancement	0.0
data_mining	requirements_elicitation	0.0
unified_modeling_language	software_design	0.006369426751592316
retrieval_effectiveness	mean_average_precision	0.011494252873563086
computational_learning_theory	first-order_logic	0.0
finite_automata	requirements_specification	0.0
decision_trees	rule_induction	0.014705882352940961
formal_logic	decision_tables	0.0
approximation_theory	medical_image_segmentation	0.0
machine_translation	statistical_machine_translation	0.9999999999999963
wordnet	turing_machines	0.0
tag_recommendation	information_extraction	0.0
information_retrieval	language_model	0.07244785949506029
vector_space_model	opinion_mining	0.0
data_mining	spatial_data_mining	0.9999999999999644
automatic_programming	text_mining	0.0
web_usage_mining	web_mining	0.010204081632652958
information_extraction	explicit_feedback	0.0
software_architecture_design	text_classification	0.0
object_detection	gesture_recognition	0.0
wordnet	coreference_resolution	0.007042253521126711
face_recognition	mean_average_precision	0.0
requirements_engineering	requirements_specification	0.04255319148936079
pseudo_relevance_feedback	linear_programming_relaxation	0.0
bm25	retrieval_models	0.02459016393442613
information_retrieval	query_processing	0.011667810569663685
turing_machines	requirements_management	0.0
computational_learning_theory	query_expansion	0.0
