hyper	hypo	sim
heterogeneous_wireless_network	frequent_item_sets	0.0
question_answering	approximation_theory	0.0
bm25	software_design	0.0
computer_networks	network_protocols	0.13348339903455284
bilingual_dictionary	automated_theorem_proving	0.0
higher-order_logic	formal_logic	0.0
collaborative_filtering	test_case_generation	0.0
uml_class_diagrams	unified_modeling_language	4.8975105575696336e-08
web_personalization	requirements_elicitation	0.0
hierarchical_clustering	video_processing	0.0
clustering	spectral_clustering	0.978436066044529
variational_approximation	computer_networks	0.0
content-based_image_retrieval	image_retrieval	0.0
automata_theory	web_search	0.0
data_mining	link_analysis	0.08511193972047734
statistical_machine_translation	unified_modeling_language	0.0
variational_approximation	computer_science	0.0
query_expansion	relation_extraction	0.0
parallel_corpora	image_segmentation	0.0
collaborative_filtering	recommender_systems	0.26693796663313596
multi-hop_wireless_networks	wireless_networks	2.1134787251345614e-08
object_detection	question_answering	0.03785504004794927
hierarchical_clustering	data_mining	0.017909375187476387
decision_rules	personalized_recommendation	0.0
relation_extraction	information_extraction	0.06536566772107846
spectral_clustering	textual_entailment	0.0
question_answering	hierarchical_clustering	0.0
ad_hoc_wireless_networks	patent_retrieval	0.0
cellular_automata	k-means_clustering	0.0
data_mining	text_mining	0.24608108658148561
link_analysis	image_enhancement	0.0
explicit_feedback	relevance_feedback	0.0
machine_translation	natural_language_processing	0.13690603694134879
relation_extraction	query_processing	0.0
collaborative_filtering	requirements_management	0.0
approximation_theory	theoretical_computer_science	0.0
finite_automata	automata_theory	0.2351108730822724
requirements_management	requirements_engineering	0.0
requirements_engineering	gesture_recognition	0.0
requirements_engineering	requirements_elicitation	0.0
stochastic_approximation	natural_language_processing	0.0
theoretical_computer_science	computer_science	4.188260234163756e-08
fuzzy_clustering	clustering	1.0468310016634464e-08
pseudo_relevance_feedback	web_usage_mining	0.0
software_engineering	software_design	0.210766858463303
text_classification	image_enhancement	0.0
data_mining	requirements_elicitation	0.0
unified_modeling_language	software_design	0.07971293713640364
retrieval_effectiveness	mean_average_precision	0.10699488342775122
computational_learning_theory	first-order_logic	0.0
finite_automata	requirements_specification	0.0
decision_trees	rule_induction	0.1212127283397532
formal_logic	decision_tables	0.0
approximation_theory	medical_image_segmentation	0.0
machine_translation	statistical_machine_translation	0.791936728296206
wordnet	turing_machines	0.0
tag_recommendation	information_extraction	0.0
information_retrieval	language_model	0.25082434774561835
vector_space_model	opinion_mining	0.0
data_mining	spatial_data_mining	0.9954794731400862
automatic_programming	text_mining	0.0
web_usage_mining	web_mining	0.09919501068991579
information_extraction	explicit_feedback	0.0
software_architecture_design	text_classification	0.0
object_detection	gesture_recognition	0.0
wordnet	coreference_resolution	0.08378972238668074
face_recognition	mean_average_precision	0.0
requirements_engineering	requirements_specification	0.1452349021958804
pseudo_relevance_feedback	linear_programming_relaxation	0.0
bm25	retrieval_models	0.1525925670310621
information_retrieval	query_processing	0.10783013804180991
turing_machines	requirements_management	0.0
computational_learning_theory	query_expansion	0.0
